774880,774878
638180,638170
54268,54266
67751,548001
116400,116396
337008,337010
295301,295305
221136,221132
816006,815995
102172,102178
943692,943691
6928,846170
293176,293179
780846,775047
425498,445597
330902,348715
509750,101992
357959,173229
659219,659174
192702,179814
113387,113381
869411,869409
783707,659914
368597,370584
148224,119641
544827,783408
292284,292282
634430,859694
39598,39604
337990,337988
171671,171667
362376,362378
615737,615739
571462,59522
814534,814532
685959,685957
630403,630407
924127,924129
212028,213430
809356,809354
204503,204509
76977,76965
822754,822782
630266,630263
605709,474951
365518,365516
220086,262579
41429,41431
252883,252887
409118,404667
392553,392551
16368,874056
465082,465079
199236,171230
890672,601811
540934,540944
604526,602568
591228,827273
425630,425634
468056,100424
118422,118418
55308,36660
483021,483018
311904,311900
623925,623921
471293,471240
155079,155083
486641,486640
455902,455898
119506,119512
837844,837846
888224,888226
41147,41145
836508,836516
816538,816536
772465,772499
257729,257727
495482,495490
57904,609391
40832,53105
461739,461733
352995,352997
749323,749321
696779,696775
213628,213626
640732,640736
274104,274103
830692,830690
794322,794339
98750,509753
374430,374428
184032,169727
468662,468658
716792,741622
173088,173090
291907,319217
563424,563426
301903,239244
472916,472922
626899,626903
291616,237541
